country,ISO_code,UNDP_region,WHO_region,modelling_year,modelling_ref_year,population,population_year,GDP_USD,GDP_year,GDP_per_capita,NCD_deaths,NCD_deaths_year,NCD_deaths_per_1000,NCD_deaths_percent,risk_of_premature_NCD_death_percent,econ_burden,econ_burden_perc_of_GDP,econ_burden_per_capita,healthcare_costs,healthcare_costs_perc,healthcare_costs_per_capita,healthcare_costs_gov,productivity_losses_perc,productivity_losses,productivity_losses_per_capita,15y_cost_all_interventions,15y_cost_all_interventions_per_capita,15y_hly_total,15y_hly_tobacco,15y_deaths_averted_total,15y_strokes_averted_total,15y_IHD_averted_total,15y_econ_benefits_total,15y_ROI_tobacco,15y_ROI_alcohol,15y_ROI_salt,15y_ROI_physicalActivity,15y_ROI_clinical,15y_recovered_econ_output_avertedDeaths_perc,15y_recovered_econ_output_presenteeism_perc,15y_recovered_econ_output_absenteeism_perc
Armenia,ARM,RBEC,EURO,2018,2017,2986151,2017,11400178827,2017,3818,26300,2016,8.81,0.93,0.22,740996100,0.065,248.10,138515400,0.197,46,113590800,0.803,602480700,202,416363400,139,180113,36352,41016,22246,20980,444475080,14.51,4.14,14.28,4.40,0.29,0.8460,0.0982,0.0555
Bahrain,BHR,RBAS,EMRO,2021,2019,1526123,2019,37348868421,2019,24473,2324,2016,1.52,0.83,0.11,1405207342,0.038,920.80,744814732,0.530,488,426671605,0.470,660392611,433,890995861,584,86999,11150,14977,13804,8359,1674235213,2.72,,7.15,1.73,1.38,0.8860,0.0566,0.0575
Barbados,BRB,RBLAC,PAHO,2015,2015,270000,2015,4720000000,2015,17481,1512,2012,5.60,0.84,0.14,105000000,0.026,220.00,32000000,0.305,119,32000000,0.695,73000000,270,,,,,,,,,,,,,,0.2800,0.6700,0.0500
Belarus,BLR,RBEC,EURO,2015,2015,9461076,2015,432936660000000,2015,45759770,108580,2012,11.48,0.89,0.26,2324726000,0.054,245.70,168803980,0.049,18,164821580,0.952,2156469600,228,423179780,45,1481007,266467,272594,172442,118521,8067645480,31.10,12.00,94.00,5.20,0.60,0.8519,0.0802,0.0741
Botswana ,BWA,RBA,AFRO,2021,2018,2451409,2018,18823300000,2018,7679,7360,2016,3.00,0.46,0.20,1115518293,0.057,455.10,255590693,0.229,104,255590693,0.771,859927600,351,377446793,154,152186,15256,27886,27252,17864,725430168,2.30,0.60,11.20,1.70,1.30,0.7992,0.1066,0.0956
Cambodia,KHM,RBAP,WPRO,2019,2017,16069921,2017,22180000000,2017,1380,59520,2016,3.70,0.64,0.21,1460961494,0.066,90.90,83937989,0.050,5,83937989,0.950,1376778788,86,342750866,21,694858,161578,184236,,,424094852,10.70,5.00,9.60,10.00,0.20,0.8407,0.0837,0.0750
Ethiopia,ETH,RBA,AFRO,2019,2017,104806000,2017,1699193551000,2017,16213,273000,2016,2.60,0.39,0.18,1101403509,0.018,10.50,154385965,0.141,1,154385965,0.859,943508772,9,8497543860,81,6789376,968284,1447403,979074,691097,2180000000,3.05,1.43,3.26,1.77,0.06,0.8040,0.1033,0.0927
Georgia,GEO,RBEC,EURO,2021,2019,3720161,2019,17420494700,2019,4683,53580,2016,14.40,0.94,0.25,1060070671,0.062,285.00,445663405,0.410,120,127858758,0.590,627255564,169,696867142,187,127399,18886,28339,17717,12374,947399751,9.40,7.10,14.70,1.40,0.60,0.9040,0.0683,0.0281
Jamaica,JAM,RBLAC,PAHO,2018,2017,2808376,2017,14166000000,2017,5044,16000,2016,5.70,0.80,0.15,,,,,,,,,,,288671600,103,67462,7355,5735,7244,5313,606855700,5.37,1.86,,,,0.5616,0.0272,0.0246
Kazakhstan,KAZ,RBEC,EURO,2019,2017,18037776,2017,160890000000,2017,8920,127280,2016,7.06,0.86,0.27,7130000000,0.045,395.30,949840000,0.140,53,930930000,0.860,6231310000,345,278555150000,"15,443",1847276,258113,394997,159401,156610,18251870000,45.40,14.20,118.40,33.80,0.50,0.8353,0.0866,0.0781
Kuwait,KWT,RBAS,EMRO,2021,2019,4420110,2019,133617961660,2019,30230,7920,2016,1.79,0.72,0.17,5230535868,0.039,1183.00,2663319654,0.500,603,2327395582,0.500,2578592191,583,1446974122,327,117148,10213,17402,14242,13432,3107028470,3.07,,8.23,1.54,1.84,0.8780,0.0600,0.0620
Kyrgyzstan,KGZ,RBEC,WPRO,2017,2015,5895062,2015,6791164110,2015,2295,28800,2012,4.89,0.80,0.24,277682545,0.039,47.10,59414757,0.220,10,56932678,0.780,206167655,35,13527328461,"2,295",84863,11013,13197,10453,13404,94629247,3.80,,12.30,3.60,0.01,0.8097,0.0948,0.0850
Mongolia,MNG,RBAP,WPRO,2016,2015,2959134,2015,9546908179,2015,3226,15010,2012,5.07,0.79,0.32,,,,,,,,,,,150544734,51,250482,7599,19454,18171,31756,958732255,13.00,13.60,16.90,,3.00,0.7710,0.1320,0.0969
Nigeria,NGA,RBA,AFRO,2021,2018,198387623,2018,357255671000,2018,1824,617120,2016,3.11,0.29,0.22,4465554455,0.011,22.50,451021000,0.101,2,451021000,0.899,4028752000,20,5630845000,28,2749525,2234947,526177,311072,206762,5478660000,1.50,1.20,6.00,2.20,1.20,0.6512,0.0378,0.0484
Oman,OMN,RBAS,EMRO,2021,2019,4463847,2019,80215526316,2019,17970,8064,2016,1.81,0.72,0.18,2894736842,0.036,648.50,1603524995,0.560,359,1415912571,0.440,1278334395,286,672648458,151,116974,12292,18724,17140,15012,1766126100,4.80,,8.64,2.01,2.27,0.8750,0.0640,0.0620
